order_id,distance_km,prep_time_min,items_count,weather,traffic_level,time_of_day,vehicle_type,rider_experience_yrs,delivery_time_min
ORD_000027,4.8,20,1,Windy,High,Morning,Motorcycle,2.7,37.3
ORD_000028,4.31,20,8,Windy,Medium,Late Night,Motorcycle,1.5,36.6
ORD_000029,3.91,15,1,Clear,Jam,Late Night,Motorcycle,2.2,33.3
ORD_000030,9.05,20,2,Foggy,Low,Morning,Scooter,4.1,44.5
ORD_000031,6.16,10,1,Windy,Medium,Evening Peak,Motorcycle,3.2,24.4
ORD_000032,4.1,15,2,Clear,Medium,Morning,Motorcycle,4.6,23.7
ORD_000033,3.43,20,3,Foggy,Medium,Evening Peak,Motorcycle,1.7,36.0
ORD_000034,7.2,10,1,Clear,High,Morning,Motorcycle,5.1,29.9
ORD_000035,8.93,15,3,Rainy,Medium,Evening Peak,Electric Bike,1.4,57.8
ORD_000036,8.49,25,2,Clear,Medium,Evening Peak,Electric Bike,2.3,61.9
ORD_000037,3.1,20,2,Clear,Medium,Morning,Motorcycle,3.8,24.9
ORD_000038,4.29,15,2,Foggy,High,Evening Peak,Motorcycle,4.6,31.4
ORD_000039,3.87,15,4,Clear,Medium,Late Night,Scooter,2.0,29.2
ORD_000040,4.61,15,2,Rainy,Medium,Morning,Motorcycle,5.7,33.1
ORD_000041,7.99,20,1,Clear,High,Evening Peak,Motorcycle,4.4,45.7
ORD_000042,10.48,15,3,Windy,Medium,Afternoon,Motorcycle,1.7,45.8
ORD_000043,6.29,15,3,Clear,Medium,Afternoon,Scooter,4.5,34.6
ORD_000044,3.5,15,2,Foggy,Medium,Evening Peak,Motorcycle,4.3,26.3
ORD_000045,5.03,15,3,Clear,Low,Late Night,Scooter,4.6,25.2
ORD_000046,11.56,10,3,Rainy,Medium,Afternoon,Motorcycle,5.5,46.4
ORD_000047,5.39,10,1,Clear,Medium,Late Night,Scooter,4.4,27.3
ORD_000048,4.31,30,8,Clear,Low,Morning,Electric Bike,2.4,46.5
ORD_000049,4.52,35,3,Clear,Low,Late Night,Scooter,4.8,48.5
ORD_000050,6.27,15,3,Heavy Storm,Jam,Morning,Motorcycle,4.3,53.4
ORD_000051,3.16,25,4,Foggy,Medium,Morning,Electric Bike,3.7,44.0
ORD_000052,3.82,20,5,Clear,Medium,Late Night,Motorcycle,2.4,34.9
ORD_000053,8.43,10,3,Rainy,Medium,Afternoon,Motorcycle,5.6,38.1
ORD_000054,6.17,15,3,Rainy,Medium,Morning,Motorcycle,3.3,43.0
ORD_000055,5.43,15,1,Clear,Low,Late Night,Motorcycle,4.0,24.9
ORD_000056,8.66,20,2,Clear,High,Late Night,Scooter,2.8,53.4
ORD_000057,3.38,20,2,Clear,High,Evening Peak,Motorcycle,4.8,27.5
ORD_000058,4.24,30,2,Clear,Jam,Late Night,Motorcycle,2.4,49.6
ORD_000059,6.06,25,2,Clear,Low,Afternoon,Electric Bike,5.0,39.7
ORD_000060,5.95,25,2,Rainy,Medium,Evening Peak,Motorcycle,1.1,43.6
ORD_000061,2.16,25,2,Clear,High,Evening Peak,Motorcycle,4.4,33.6
ORD_000062,4.01,25,6,Rainy,Low,Late Night,Scooter,3.1,44.6
ORD_000063,4.68,15,3,Rainy,High,Late Night,Motorcycle,4.3,39.8
ORD_000064,6.43,15,2,Foggy,Medium,Morning,Motorcycle,3.4,35.7
ORD_000065,5.94,20,2,Clear,Medium,Afternoon,Scooter,1.2,34.8
ORD_000066,4.92,20,4,Windy,Jam,Evening Peak,Electric Bike,3.1,54.8
ORD_000067,1.58,15,3,Foggy,Medium,Late Night,Motorcycle,5.8,22.6
ORD_000068,5.06,25,4,Clear,Medium,Afternoon,Scooter,4.7,39.0
ORD_000069,5.31,30,3,Foggy,Medium,Morning,Scooter,2.2,50.2
ORD_000070,17.18,20,5,Clear,Low,Morning,Scooter,5.7,62.4
ORD_000071,4.59,15,2,Clear,Jam,Afternoon,Motorcycle,4.8,33.5
ORD_000072,6.08,25,4,Foggy,Low,Morning,Scooter,2.5,45.5
ORD_000073,9.44,10,1,Clear,Medium,Morning,Electric Bike,3.8,44.0
ORD_000074,7.75,10,3,Rainy,Medium,Afternoon,Motorcycle,2.8,37.9
ORD_000075,10.71,25,2,Windy,Medium,Evening Peak,Motorcycle,1.0,55.7
ORD_000076,2.18,20,2,Windy,Low,Evening Peak,Electric Bike,4.9,23.2
ORD_000077,2.82,15,3,Clear,Medium,Evening Peak,Scooter,1.6,22.5
ORD_000078,3.67,25,3,Clear,Medium,Afternoon,Motorcycle,3.0,34.5
ORD_000079,1.98,15,3,Windy,Medium,Morning,Scooter,4.4,18.8
ORD_000080,5.34,20,1,Foggy,High,Afternoon,Motorcycle,5.6,36.9
ORD_000081,2.95,20,2,Clear,Medium,Evening Peak,Scooter,0.8,31.0
ORD_000082,11.49,15,6,Clear,High,Afternoon,Motorcycle,2.7,54.3
ORD_000083,3.21,15,3,Rainy,High,Afternoon,Motorcycle,3.9,33.8
ORD_000084,4.25,30,2,Windy,Jam,Afternoon,Scooter,4.8,53.8
ORD_000085,8.0,15,3,Windy,Low,Morning,Motorcycle,5.6,29.0
ORD_000086,2.43,15,1,Clear,Medium,Evening Peak,Scooter,0.5,27.1
ORD_000087,1.91,15,2,Windy,Medium,Late Night,Motorcycle,4.0,20.6
ORD_000088,5.7,10,5,Foggy,Low,Afternoon,Motorcycle,0.5,26.3
ORD_000089,5.94,25,2,Clear,Jam,Evening Peak,Scooter,4.8,55.6
ORD_000090,7.87,10,6,Clear,Low,Morning,Motorcycle,1.3,30.4
ORD_000091,6.86,20,2,Clear,Medium,Late Night,Electric Bike,5.4,38.6
ORD_000092,6.07,15,4,Clear,Low,Late Night,Motorcycle,1.4,28.3
ORD_000093,3.42,25,1,Windy,High,Morning,Scooter,4.7,36.2
ORD_000094,5.85,20,1,Clear,High,Evening Peak,Motorcycle,2.1,41.2
ORD_000095,6.05,15,1,Clear,High,Evening Peak,Motorcycle,3.6,32.5
ORD_000096,3.35,35,2,Windy,Medium,Evening Peak,Electric Bike,3.8,47.5
ORD_000097,13.27,10,1,Clear,High,Evening Peak,Motorcycle,1.6,54.8
ORD_000098,6.68,20,2,Clear,Medium,Morning,Motorcycle,2.1,37.3
ORD_000099,2.85,35,4,Windy,High,Evening Peak,Motorcycle,1.1,47.9
ORD_000100,7.89,20,5,Foggy,Low,Morning,Motorcycle,0.5,46.9
ORD_000101,8.63,20,1,Windy,Medium,Afternoon,Motorcycle,1.8,45.3
ORD_000102,6.47,10,2,Foggy,Low,Late Night,Electric Bike,3.3,31.3
ORD_000103,4.45,10,3,Windy,High,Afternoon,Electric Bike,4.4,35.3
ORD_000104,3.27,10,3,Rainy,Low,Evening Peak,Scooter,4.9,27.7
ORD_000105,4.91,35,1,Rainy,Low,Morning,Motorcycle,0.9,54.2
ORD_000106,6.22,35,5,Foggy,Jam,Evening Peak,Scooter,2.0,74.2
ORD_000107,5.17,15,2,Windy,Medium,Evening Peak,Electric Bike,4.7,36.8
ORD_000108,10.98,15,2,Heavy Storm,Jam,Evening Peak,Electric Bike,3.1,95.0
ORD_000109,7.25,10,1,Clear,Medium,Late Night,Motorcycle,1.5,32.1
ORD_000110,3.07,15,2,Clear,Medium,Late Night,Scooter,2.7,23.3
ORD_000111,2.68,15,3,Foggy,High,Afternoon,Scooter,2.0,29.2
ORD_000112,6.71,20,2,Rainy,Medium,Late Night,Electric Bike,0.8,50.3
ORD_000113,4.51,25,4,Foggy,Low,Morning,Motorcycle,4.7,36.3
ORD_000114,7.59,20,1,Rainy,High,Morning,Scooter,2.1,53.5
ORD_000115,6.68,20,1,Clear,Medium,Evening Peak,Scooter,5.7,36.4
ORD_000116,4.92,25,2,Rainy,High,Evening Peak,Scooter,5.4,47.9
ORD_000117,3.09,20,3,Clear,Low,Afternoon,Motorcycle,4.4,30.5
ORD_000118,2.03,15,2,Rainy,Medium,Morning,Scooter,2.3,27.5
ORD_000119,5.79,15,4,Windy,Low,Evening Peak,Motorcycle,2.0,31.4
ORD_000120,2.4,15,2,Clear,Medium,Late Night,Motorcycle,3.1,17.1
ORD_000121,3.02,20,2,Foggy,High,Evening Peak,Electric Bike,2.5,36.2
ORD_000122,5.6,30,4,Clear,Medium,Late Night,Motorcycle,5.5,41.9
ORD_000123,5.31,20,2,Clear,Medium,Evening Peak,Scooter,1.2,39.1
ORD_000124,2.56,30,3,Clear,Medium,Afternoon,Motorcycle,4.5,37.0
ORD_000125,9.17,10,2,Clear,High,Morning,Scooter,3.9,41.7
ORD_000126,9.03,25,2,Foggy,Medium,Evening Peak,Scooter,4.9,57.1
ORD_000127,6.83,25,1,Clear,Low,Evening Peak,Scooter,3.5,41.4
ORD_000128,6.83,20,4,Heavy Storm,Jam,Evening Peak,Motorcycle,4.0,68.2
ORD_000129,6.83,30,4,Clear,Jam,Evening Peak,Motorcycle,5.8,60.7
ORD_000130,8.59,20,2,Rainy,Medium,Evening Peak,Scooter,1.0,57.9
ORD_000131,7.35,15,1,Heavy Storm,High,Late Night,Electric Bike,1.1,59.5
ORD_000132,3.23,15,2,Clear,Low,Evening Peak,Scooter,2.7,23.1
ORD_000133,4.47,20,1,Clear,Low,Morning,Motorcycle,3.1,29.2
ORD_000134,16.14,30,2,Clear,High,Evening Peak,Scooter,1.6,88.4
ORD_000135,1.63,10,1,Rainy,Low,Evening Peak,Motorcycle,1.0,21.5
ORD_000136,3.89,20,2,Rainy,Low,Morning,Motorcycle,0.6,34.7
ORD_000137,9.19,25,1,Clear,Medium,Afternoon,Scooter,4.7,47.7
ORD_000138,3.35,10,2,Clear,Low,Evening Peak,Scooter,3.2,21.1
ORD_000139,7.46,10,2,Foggy,Low,Evening Peak,Scooter,5.1,30.3
ORD_000140,5.27,15,2,Windy,Low,Afternoon,Scooter,2.5,28.1
ORD_000141,3.48,15,2,Clear,Medium,Evening Peak,Motorcycle,4.4,22.1
ORD_000142,1.49,15,1,Foggy,High,Evening Peak,Motorcycle,3.2,19.2
ORD_000143,5.71,15,3,Heavy Storm,Low,Evening Peak,Motorcycle,3.9,45.0
ORD_000144,3.19,10,6,Clear,Medium,Evening Peak,Scooter,2.5,19.5
ORD_000145,4.8,20,3,Clear,Low,Evening Peak,Motorcycle,0.9,31.5
ORD_000146,6.8,20,2,Foggy,Medium,Evening Peak,Motorcycle,5.7,40.7
ORD_000147,8.21,20,3,Windy,Low,Morning,Electric Bike,5.1,45.5
ORD_000148,3.88,20,1,Heavy Storm,Low,Afternoon,Motorcycle,2.2,38.5
ORD_000149,3.48,30,2,Rainy,Low,Morning,Motorcycle,5.8,46.2
ORD_000150,2.38,25,2,Clear,High,Evening Peak,Motorcycle,2.2,29.6
ORD_000151,8.44,30,1,Windy,Jam,Late Night,Motorcycle,2.9,68.3
ORD_000152,14.86,15,6,Windy,High,Evening Peak,Motorcycle,4.7,67.0
ORD_000153,8.94,25,2,Clear,Low,Evening Peak,Electric Bike,2.2,54.1
ORD_000154,10.04,25,8,Clear,Medium,Evening Peak,Scooter,2.3,58.4
ORD_000155,3.37,15,2,Windy,High,Evening Peak,Scooter,2.8,29.6
ORD_000156,6.58,10,6,Clear,Low,Evening Peak,Electric Bike,3.1,35.9
ORD_000157,7.84,20,3,Clear,Medium,Late Night,Motorcycle,1.2,41.8
ORD_000158,0.88,10,2,Clear,Medium,Afternoon,Motorcycle,0.6,12.0
ORD_000159,2.76,15,4,Windy,Medium,Evening Peak,Electric Bike,5.6,29.2
ORD_000160,11.93,20,2,Clear,Medium,Morning,Motorcycle,2.4,51.4
ORD_000161,2.14,20,4,Rainy,Low,Morning,Scooter,1.1,39.0
ORD_000162,10.91,30,2,Clear,Medium,Late Night,Motorcycle,4.7,55.3
ORD_000163,2.13,20,2,Rainy,High,Evening Peak,Motorcycle,2.1,28.4
ORD_000164,2.84,20,3,Clear,Medium,Evening Peak,Motorcycle,1.5,28.2
ORD_000165,6.64,15,3,Windy,Low,Late Night,Motorcycle,5.8,31.4
ORD_000166,5.34,20,1,Clear,High,Late Night,Scooter,5.6,37.4
ORD_000167,4.1,15,2,Foggy,Medium,Morning,Electric Bike,1.1,35.2
ORD_000168,11.68,25,1,Rainy,Medium,Evening Peak,Motorcycle,5.4,63.5
ORD_000169,2.42,15,5,Foggy,Medium,Evening Peak,Motorcycle,5.4,23.4
ORD_000170,4.7,15,6,Windy,Medium,Evening Peak,Motorcycle,4.0,30.4
ORD_000171,7.11,15,5,Clear,Medium,Morning,Motorcycle,3.4,36.7
ORD_000172,6.01,25,2,Windy,Low,Evening Peak,Motorcycle,1.7,40.2
ORD_000173,3.55,30,3,Heavy Storm,High,Afternoon,Scooter,1.2,60.7
ORD_000174,3.62,15,5,Windy,Medium,Afternoon,Scooter,3.8,28.9
ORD_000175,8.15,15,4,Heavy Storm,High,Evening Peak,Scooter,5.0,62.8
ORD_000176,8.36,20,2,Clear,Jam,Afternoon,Motorcycle,4.3,56.2
ORD_000177,6.1,25,1,Rainy,Medium,Evening Peak,Motorcycle,1.5,50.5
ORD_000178,3.12,15,5,Foggy,Low,Afternoon,Motorcycle,2.1,27.0
ORD_000179,3.68,10,4,Foggy,Medium,Evening Peak,Scooter,3.5,27.2
ORD_000180,5.07,15,2,Foggy,Medium,Late Night,Motorcycle,3.9,31.3
ORD_000181,5.49,20,2,Clear,Medium,Evening Peak,Motorcycle,0.9,34.9
ORD_000182,6.95,15,8,Windy,Medium,Afternoon,Motorcycle,3.9,41.1
ORD_000183,4.56,15,3,Rainy,Medium,Morning,Motorcycle,4.5,34.3
ORD_000184,8.05,10,1,Clear,Medium,Evening Peak,Motorcycle,1.5,30.6
ORD_000185,8.0,20,1,Heavy Storm,Medium,Late Night,Motorcycle,1.9,54.6
ORD_000186,10.22,35,1,Clear,Low,Afternoon,Motorcycle,1.9,58.1
ORD_000187,5.2,30,3,Clear,Medium,Morning,Motorcycle,5.7,42.4
ORD_000188,6.16,20,1,Clear,Low,Morning,Scooter,2.7,29.8
ORD_000189,4.76,25,4,Rainy,High,Afternoon,Motorcycle,3.4,47.1
ORD_000190,3.14,15,2,Clear,High,Evening Peak,Scooter,4.5,23.8
ORD_000191,14.67,20,2,Windy,High,Afternoon,Electric Bike,2.5,93.9
ORD_000192,9.52,10,3,Clear,Jam,Evening Peak,Motorcycle,1.1,52.8
ORD_000193,7.91,20,1,Clear,Low,Late Night,Motorcycle,4.1,36.0
ORD_000194,5.1,30,2,Clear,Medium,Morning,Scooter,4.2,42.4
ORD_000195,2.99,25,2,Clear,High,Evening Peak,Scooter,1.9,36.2
ORD_000196,8.68,20,1,Clear,Medium,Evening Peak,Motorcycle,0.7,45.8
ORD_000197,4.71,25,2,Clear,High,Evening Peak,Motorcycle,4.2,41.3
ORD_000198,6.47,30,3,Clear,Medium,Late Night,Scooter,4.4,51.4
ORD_000199,3.68,15,3,Heavy Storm,Jam,Evening Peak,Motorcycle,0.6,46.6
ORD_000200,5.9,25,1,Foggy,Medium,Morning,Motorcycle,4.3,43.8
ORD_000201,3.81,15,5,Clear,Medium,Evening Peak,Electric Bike,5.7,26.2
ORD_000202,3.89,25,1,Clear,Low,Afternoon,Motorcycle,1.5,34.3
ORD_000203,5.85,10,3,Clear,Low,Late Night,Scooter,3.4,21.7
ORD_000204,2.12,15,2,Windy,High,Morning,Scooter,4.3,22.6
ORD_000205,2.17,20,3,Heavy Storm,Medium,Afternoon,Scooter,1.8,39.0
ORD_000206,3.34,15,4,Rainy,Medium,Late Night,Motorcycle,4.6,32.9
ORD_000207,4.53,15,1,Clear,High,Late Night,Scooter,5.3,32.3
ORD_000208,8.18,20,3,Clear,Medium,Afternoon,Motorcycle,5.0,36.7
ORD_000209,4.68,25,1,Heavy Storm,Jam,Evening Peak,Electric Bike,1.9,66.2
ORD_000210,5.08,15,2,Clear,Jam,Morning,Scooter,4.9,38.1
ORD_000211,4.34,25,2,Windy,High,Morning,Scooter,2.8,35.3
ORD_000212,6.15,25,2,Clear,Jam,Morning,Scooter,2.0,58.1
ORD_000213,3.13,20,1,Rainy,Low,Morning,Electric Bike,1.4,35.4
ORD_000214,4.82,20,3,Clear,Low,Evening Peak,Scooter,5.5,26.5
ORD_000215,6.43,10,2,Windy,Low,Afternoon,Motorcycle,2.8,25.8
ORD_000216,5.83,15,2,Clear,Jam,Evening Peak,Motorcycle,5.3,35.3
ORD_000217,5.17,15,1,Clear,Medium,Evening Peak,Motorcycle,1.4,27.5
ORD_000218,5.21,15,3,Clear,Jam,Evening Peak,Motorcycle,4.7,40.1
ORD_000219,6.77,15,3,Clear,Low,Afternoon,Motorcycle,1.1,29.1
ORD_000220,15.07,15,1,Clear,Low,Morning,Electric Bike,0.6,61.9
ORD_000221,3.24,20,2,Clear,Medium,Evening Peak,Motorcycle,6.0,28.3
ORD_000222,15.31,20,3,Clear,Low,Afternoon,Electric Bike,0.9,72.4
ORD_000223,3.16,30,1,Heavy Storm,High,Afternoon,Motorcycle,3.0,54.6
ORD_000224,1.41,10,1,Clear,Medium,Evening Peak,Motorcycle,5.3,12.0
ORD_000225,3.76,10,1,Rainy,High,Afternoon,Motorcycle,5.0,26.3
ORD_000226,6.22,20,2,Clear,Medium,Afternoon,Motorcycle,3.1,33.6
ORD_000227,13.34,10,2,Clear,Medium,Evening Peak,Scooter,3.9,46.2
ORD_000228,2.99,25,1,Windy,High,Evening Peak,Motorcycle,4.0,35.1
ORD_000229,6.75,20,6,Clear,Medium,Late Night,Motorcycle,1.1,42.0
ORD_000230,2.29,15,3,Windy,Jam,Evening Peak,Electric Bike,2.1,33.5
ORD_000231,13.07,15,1,Clear,Medium,Morning,Electric Bike,2.2,64.5
ORD_000232,9.62,15,3,Windy,Medium,Evening Peak,Motorcycle,2.6,40.1
ORD_000233,3.89,15,2,Rainy,High,Morning,Motorcycle,2.0,34.5
ORD_000234,10.47,10,2,Heavy Storm,Medium,Late Night,Scooter,1.9,54.3
ORD_000235,4.8,10,1,Clear,Jam,Morning,Motorcycle,2.5,31.8
ORD_000236,9.89,20,2,Clear,High,Late Night,Scooter,2.6,56.4
ORD_000237,5.15,15,1,Clear,Medium,Late Night,Scooter,3.2,27.5
ORD_000238,5.27,25,3,Foggy,Low,Evening Peak,Motorcycle,1.5,40.0
ORD_000239,3.94,15,2,Heavy Storm,Low,Morning,Electric Bike,4.8,37.5
ORD_000240,7.24,10,2,Clear,Medium,Evening Peak,Motorcycle,5.2,22.5
ORD_000241,5.5,15,3,Foggy,Medium,Afternoon,Electric Bike,1.9,44.3
ORD_000242,6.83,15,3,Foggy,Medium,Evening Peak,Scooter,1.2,41.6
ORD_000243,2.0,10,3,Foggy,High,Afternoon,Motorcycle,4.5,17.8
ORD_000244,10.09,10,3,Foggy,Jam,Evening Peak,Motorcycle,5.6,60.3
ORD_000245,11.49,15,3,Clear,Medium,Evening Peak,Scooter,0.7,52.0
ORD_000246,5.48,15,5,Foggy,Medium,Morning,Motorcycle,0.6,36.8
ORD_000247,14.47,25,3,Clear,Medium,Evening Peak,Motorcycle,1.5,63.6
ORD_000248,12.63,25,4,Foggy,Medium,Afternoon,Motorcycle,4.3,61.4
ORD_000249,7.32,15,6,Clear,Low,Evening Peak,Electric Bike,5.8,41.1
ORD_000250,10.54,10,1,Rainy,Low,Morning,Scooter,4.6,41.1
ORD_000251,9.06,20,3,Rainy,High,Afternoon,Scooter,3.7,61.5
ORD_000252,1.74,25,3,Windy,High,Evening Peak,Motorcycle,4.4,30.1
ORD_000253,4.39,30,4,Clear,High,Evening Peak,Motorcycle,1.8,45.0
ORD_000254,7.61,10,2,Rainy,High,Morning,Scooter,4.3,44.5
ORD_000255,11.91,15,2,Rainy,Low,Afternoon,Electric Bike,2.3,60.8
ORD_000256,2.21,20,1,Windy,Medium,Evening Peak,Scooter,1.7,31.0
ORD_000257,1.8,25,3,Heavy Storm,Low,Morning,Motorcycle,1.8,45.5
ORD_000258,4.97,10,2,Clear,High,Evening Peak,Electric Bike,4.2,32.5
ORD_000259,1.45,20,5,Foggy,Low,Afternoon,Scooter,4.7,30.5
ORD_000260,4.88,15,3,Clear,High,Late Night,Electric Bike,3.7,41.2
ORD_000261,6.3,10,2,Clear,Medium,Afternoon,Motorcycle,0.9,29.8
ORD_000262,2.91,15,4,Windy,Medium,Evening Peak,Electric Bike,0.7,32.1
ORD_000263,4.95,15,4,Foggy,High,Evening Peak,Motorcycle,1.7,37.8
ORD_000264,8.6,20,1,Clear,Medium,Evening Peak,Scooter,2.1,44.8
ORD_000265,3.75,20,2,Foggy,Medium,Late Night,Scooter,2.7,34.1
ORD_000266,3.19,25,1,Clear,High,Evening Peak,Electric Bike,0.9,42.9
ORD_000267,4.83,15,2,Windy,High,Morning,Motorcycle,4.5,31.7
ORD_000268,2.74,10,3,Foggy,Medium,Late Night,Motorcycle,4.4,18.7
ORD_000269,13.87,15,2,Clear,Medium,Morning,Scooter,2.4,57.0
ORD_000270,5.24,15,1,Windy,Medium,Afternoon,Electric Bike,3.6,36.1
ORD_000271,3.38,20,3,Clear,Medium,Evening Peak,Motorcycle,1.1,30.0
ORD_000272,5.79,15,6,Windy,Low,Late Night,Motorcycle,2.8,30.1
ORD_000273,4.81,20,2,Clear,High,Evening Peak,Motorcycle,5.2,36.6
ORD_000274,4.51,20,5,Clear,Medium,Late Night,Scooter,4.1,36.8
ORD_000275,3.75,15,5,Clear,Medium,Late Night,Scooter,1.1,25.0
ORD_000276,3.65,20,3,Rainy,Medium,Evening Peak,Electric Bike,5.2,40.4
ORD_000277,2.03,15,1,Clear,Low,Evening Peak,Scooter,4.2,19.1
ORD_000278,10.53,25,3,Clear,Low,Afternoon,Scooter,3.0,53.1
ORD_000279,7.06,20,3,Clear,Medium,Afternoon,Motorcycle,4.3,35.4
ORD_000280,6.12,10,3,Clear,Low,Evening Peak,Scooter,1.5,24.7
ORD_000281,4.77,15,2,Clear,High,Morning,Motorcycle,3.5,32.4
ORD_000282,2.89,20,3,Clear,High,Afternoon,Electric Bike,3.9,34.3
ORD_000283,3.27,10,4,Clear,Jam,Afternoon,Scooter,5.6,26.4
ORD_000284,2.15,25,3,Clear,High,Late Night,Scooter,0.9,39.5
ORD_000285,3.49,15,1,Clear,Jam,Afternoon,Motorcycle,2.6,33.7
ORD_000286,2.67,20,3,Clear,Low,Afternoon,Electric Bike,5.7,25.1
ORD_000287,12.24,30,1,Clear,Medium,Evening Peak,Scooter,1.7,67.3
ORD_000288,8.28,20,3,Foggy,Low,Late Night,Scooter,5.0,41.2
ORD_000289,5.37,15,3,Windy,Low,Evening Peak,Scooter,0.5,32.8
ORD_000290,3.06,10,2,Windy,High,Morning,Scooter,0.6,27.6
ORD_000291,2.74,10,3,Clear,Medium,Afternoon,Motorcycle,2.3,17.6
ORD_000292,4.6,20,4,Windy,Low,Evening Peak,Motorcycle,4.7,32.4
ORD_000293,8.47,15,2,Rainy,Medium,Morning,Motorcycle,1.1,41.1
ORD_000294,2.18,15,2,Windy,Low,Evening Peak,Motorcycle,2.6,21.8
ORD_000295,7.01,30,2,Clear,Low,Afternoon,Motorcycle,1.2,45.2
ORD_000296,3.49,15,2,Windy,Low,Evening Peak,Scooter,1.7,26.4
ORD_000297,3.85,20,2,Clear,Low,Evening Peak,Electric Bike,3.3,29.8
ORD_000298,5.28,20,1,Clear,High,Evening Peak,Electric Bike,2.3,41.9
ORD_000299,3.12,20,3,Windy,Medium,Evening Peak,Scooter,1.7,35.0
ORD_000300,4.47,15,4,Windy,Medium,Evening Peak,Motorcycle,2.7,27.9
ORD_000301,2.97,15,3,Clear,Low,Morning,Motorcycle,4.4,18.6
ORD_000302,3.65,30,2,Clear,Low,Late Night,Motorcycle,1.2,38.9
ORD_000303,7.76,15,1,Foggy,Low,Evening Peak,Scooter,3.1,42.2
ORD_000304,5.43,20,2,Clear,High,Morning,Scooter,2.0,40.9
ORD_000305,7.74,20,1,Clear,Jam,Evening Peak,Motorcycle,2.6,52.6
ORD_000306,3.46,10,3,Foggy,High,Evening Peak,Motorcycle,5.0,23.2
ORD_000307,7.04,25,1,Rainy,High,Afternoon,Scooter,5.6,56.6
ORD_000308,1.89,20,1,Rainy,High,Evening Peak,Motorcycle,1.8,34.4
ORD_000309,5.28,20,2,Clear,Medium,Morning,Scooter,4.0,33.4
ORD_000310,7.3,25,2,Clear,High,Late Night,Electric Bike,4.2,53.4
ORD_000311,1.85,25,2,Windy,High,Evening Peak,Motorcycle,5.1,30.8
ORD_000312,3.48,15,6,Foggy,Medium,Evening Peak,Motorcycle,5.4,32.8
ORD_000313,5.27,25,2,Windy,Jam,Afternoon,Motorcycle,3.1,48.9
ORD_000314,8.82,15,5,Clear,Jam,Evening Peak,Motorcycle,5.9,54.3
ORD_000315,3.65,20,2,Rainy,Medium,Evening Peak,Motorcycle,5.8,31.2
ORD_000316,6.89,10,4,Rainy,Medium,Afternoon,Electric Bike,3.3,44.2
ORD_000317,10.91,10,2,Clear,Medium,Evening Peak,Scooter,3.5,40.6
ORD_000318,7.06,10,1,Clear,Medium,Afternoon,Scooter,4.2,29.2
ORD_000319,4.56,15,2,Windy,Low,Evening Peak,Scooter,2.6,26.3
ORD_000320,6.32,10,2,Clear,Medium,Evening Peak,Scooter,4.1,24.5
ORD_000321,3.59,20,2,Foggy,Low,Evening Peak,Motorcycle,3.3,30.5
ORD_000322,5.39,15,3,Clear,Medium,Evening Peak,Motorcycle,0.7,35.3
ORD_000323,4.69,20,2,Clear,Medium,Morning,Scooter,5.2,35.0
